NumberOfMeetings = 40
NumberOfAgents = 13
NumberOfMeetingPerAgent = 5
MinDisTimeBetweenMeetings = 1
MaxDisTimeBetweenMeetings = 2
DomainSize = 12

Agents Meetings:
Agents (0): 0 6 10 20 37
Agents (1): 10 20 21 23 34
Agents (2): 12 14 25 31 36
Agents (3): 8 12 17 26 29
Agents (4): 0 1 13 17 35
Agents (5): 10 11 14 16 17
Agents (6): 15 29 30 35 39
Agents (7): 1 2 22 28 33
Agents (8): 1 2 5 18 38
Agents (9): 5 23 26 31 39
Agents (10): 0 19 35 38 39
Agents (11): 28 33 34 37 39
Agents (12): 4 17 24 27 36

Between Meetings Distance:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
11: 1 1 2 2 1 1 2 2 2 2 1 0 1 2 1 2 1 2 2 2 1 1 1 1 2 2 1 2 2 1 2 1 1 1 2 1 1 1 1 1
12: 2 1 1 1 2 2 1 2 1 2 1 1 0 1 2 1 1 1 2 2 1 2 2 2 2 1 1 2 1 2 2 2 2 1 2 1 1 2 1 2
13: 1 2 2 1 1 2 2 1 2 1 1 2 1 0 2 2 1 1 1 2 1 1 1 2 1 2 1 2 2 2 1 2 1 2 2 1 1 2 1 2
14: 1 2 2 2 1 2 2 1 1 2 1 1 2 2 0 2 2 2 2 2 1 1 2 1 2 2 1 2 2 2 2 2 2 1 1 1 1 2 2 1
15: 1 2 2 2 2 2 2 1 1 2 2 2 1 2 2 0 2 2 2 1 2 2 1 2 2 2 2 2 2 1 1 2 1 2 1 1 2 2 2 2
16: 1 1 1 1 2 2 1 1 2 1 2 1 1 1 2 2 0 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 1 1 1 1 1 1 1
17: 1 1 2 2 2 1 1 1 1 2 2 2 1 1 2 2 2 0 1 2 1 2 1 1 2 2 1 2 1 2 1 1 1 1 1 2 2 1 2 2
18: 2 1 1 2 1 1 1 2 1 2 1 2 2 1 2 2 2 1 0 1 1 1 1 2 2 1 2 1 2 1 1 2 2 2 1 1 1 2 2 1
19: 2 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 2 2 1 0 1 2 1 2 1 1 1 2 1 1 1 2 1 1 2 1 1 2 2 1
20: 1 2 2 2 1 2 1 2 1 2 2 1 1 1 1 2 2 1 1 1 0 1 1 2 1 2 1 2 1 1 2 1 2 1 1 1 2 1 1 1
21: 1 1 2 1 2 2 1 2 1 2 1 1 2 1 1 2 2 2 1 2 1 0 1 1 1 2 1 1 2 2 1 2 1 1 2 2 2 1 2 1
22: 1 2 2 1 1 2 1 1 1 2 2 1 2 1 2 1 2 1 1 1 1 1 0 1 1 1 2 1 1 1 1 2 1 1 2 2 1 1 2 2
23: 2 2 1 1 1 1 2 2 2 1 1 1 2 2 1 2 2 1 2 2 2 1 1 0 2 1 2 1 2 2 2 2 1 2 1 1 1 1 2 1
24: 1 2 2 2 1 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 1 1 1 2 0 1 1 2 2 1 1 2 2 1 2 2 2 1 1 1
25: 1 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 2 2 1 1 2 2 1 1 1 0 2 1 2 2 2 2 2 2 1 2 1 2 1 2
26: 1 2 2 2 1 1 1 2 1 1 1 1 1 1 1 2 2 1 2 1 1 1 2 2 1 2 0 1 1 2 1 2 1 2 1 1 1 1 2 2
27: 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 1 2 1 2 2 1 1 1 2 1 1 0 1 1 2 2 2 2 2 1 2 1 1 2
28: 2 1 2 2 2 1 2 1 1 2 1 2 1 2 2 2 1 1 2 1 1 2 1 2 2 2 1 1 0 2 2 1 2 1 2 2 2 2 1 2
29: 2 1 1 2 1 2 2 1 2 2 2 1 2 2 2 1 1 2 1 1 1 2 1 2 1 2 2 1 2 0 2 2 1 2 1 2 2 1 1 1
30: 1 1 2 1 2 1 1 1 1 2 2 2 2 1 2 1 2 1 1 1 2 1 1 2 1 2 1 2 2 2 0 2 2 1 2 1 1 2 2 2
31: 1 1 1 1 2 1 2 2 1 2 1 1 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 1 2 2 0 1 1 1 2 1 2 2 2
32: 2 1 1 2 2 1 2 2 2 2 2 1 2 1 2 1 2 1 2 1 2 1 1 1 2 2 1 2 2 1 2 1 0 2 2 1 2 2 1 2
33: 1 2 2 2 2 1 1 1 2 2 2 1 1 2 1 2 1 1 2 1 1 1 1 2 1 2 2 2 1 2 1 1 2 0 1 1 1 2 2 1
34: 2 2 2 2 1 2 1 2 2 1 1 2 2 2 1 1 1 1 1 2 1 2 2 1 2 1 1 2 2 1 2 1 2 1 0 1 2 2 1 1
35: 2 2 2 1 2 2 2 1 2 2 2 1 1 1 1 1 1 2 1 1 1 2 2 1 2 2 1 1 2 2 1 2 1 1 1 0 2 2 1 2
36: 1 1 1 2 1 2 1 1 2 2 1 1 1 1 1 2 1 2 1 1 2 2 1 1 2 1 1 2 2 2 1 1 2 1 2 2 0 1 2 2
37: 2 2 2 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 2 1 1 2 1 2 2 2 2 2 2 1 0 1 2
38: 2 2 1 2 2 2 2 2 2 1 2 1 1 1 2 2 1 2 2 2 1 2 2 2 1 1 2 1 1 1 2 2 1 2 1 1 2 1 0 2
39: 1 2 2 1 1 2 2 1 2 2 2 1 2 2 1 2 1 2 1 1 1 1 2 1 1 2 2 2 2 1 2 2 2 1 1 2 2 2 2 0
